Place,City,total_reviews,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
Hatkeshwar Mahadev Temple,Raipur,11,4.0,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Kalachand Temple,Bankura,11,4.0,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Raniji Ki Baoli,Kota,11,4.0,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Tara Mandir Temple,Porbandar,11,4.0,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Tippu Sultan's Mosque,Kolkata,11,4.0,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Nehru Place,New Delhi,33,3.9696969696969697,0,9,24,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Kanniga Parameswari Temple,Pondicherry,22,3.9545454545454546,1,4,17,0.045454545454545456,0.18181818181818182,0.7727272727272727,0.7272727272727273
Pilot Point,Vasco da Gama,22,3.9545454545454546,1,4,17,0.045454545454545456,0.18181818181818182,0.7727272727272727,0.7272727272727273
Amaravathi Crocodile Farm,Tiruppur,11,3.909090909090909,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Antaragange caves,Kolar,11,3.909090909090909,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Koyikkal Palace,Trivandrum,11,3.909090909090909,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Nilakantha Palace,Mandu,11,3.909090909090909,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Rani Ka Talab,Ambala,11,3.8181818181818183,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Nagaon Beach,Alibaug,550,4.245454545454545,41,68,441,0.07454545454545454,0.12363636363636364,0.8018181818181818,0.7272727272727272
Alagarkoil Temple and Shrine,Madurai,352,4.2414772727272725,13,70,269,0.036931818181818184,0.19886363636363635,0.7642045454545454,0.7272727272727272
Garjiya Devi Temple,Jim Corbett National Park,531,4.105461393596987,16,113,402,0.030131826741996232,0.2128060263653484,0.7570621468926554,0.7269303201506592
Shankaracharya Hill,Srinagar,2003,4.180229655516725,70,407,1526,0.034947578632051925,0.2031952071892162,0.7618572141787319,0.72690963554668
Bara Imambara,Lucknow,1398,4.241773962804006,52,278,1068,0.03719599427753934,0.1988555078683834,0.7639484978540773,0.7267525035765379
Sri Chamundeshwari Temple,Mysuru (Mysore),2186,4.201738334858188,98,402,1686,0.04483074107959744,0.1838975297346752,0.7712717291857274,0.72644098810613
Samudra Beach,Kovalam,296,4.25,18,45,233,0.060810810810810814,0.15202702702702703,0.7871621621621622,0.7263513513513513
Mawlynnong Waterfall,Mawlynnong,168,4.261904761904762,8,30,130,0.047619047619047616,0.17857142857142858,0.7738095238095238,0.7261904761904763
Cuttack Chandi Temple,Cuttack,84,4.130952380952381,6,11,67,0.07142857142857142,0.13095238095238096,0.7976190476190477,0.7261904761904763
All Saints Cathedral,Allahabad,84,4.2023809523809526,3,17,64,0.03571428571428571,0.20238095238095238,0.7619047619047619,0.7261904761904762
Park Street,Kolkata,1956,4.18200408997955,59,418,1479,0.03016359918200409,0.21370143149284254,0.7561349693251533,0.7259713701431493
Photo Point,Munnar,799,4.216520650813517,41,137,621,0.05131414267834793,0.17146433041301626,0.7772215269086358,0.7259073842302879
Marari Ayurveda Panchakarma Centre,Mararikulam,62,4.338709677419355,6,5,51,0.0967741935483871,0.08064516129032258,0.8225806451612904,0.7258064516129032
Lord Point,Matheran,62,4.241935483870968,3,11,48,0.04838709677419355,0.1774193548387097,0.7741935483870968,0.7258064516129032
Mall of Travancore,Trivandrum,62,4.145161290322581,3,11,48,0.04838709677419355,0.1774193548387097,0.7741935483870968,0.7258064516129032
Dibru Saikhowa National Park,Tinsukia,51,4.372549019607843,1,12,38,0.0196078431372549,0.23529411764705882,0.7450980392156863,0.7254901960784313
Devrai Art Village,Panchgani,51,4.313725490196078,1,12,38,0.0196078431372549,0.23529411764705882,0.7450980392156863,0.7254901960784313
Sringeri Saradha Peetam Temple,Chennai,51,4.294117647058823,1,12,38,0.0196078431372549,0.23529411764705882,0.7450980392156863,0.7254901960784313
Shah Najaf Imambara,Lucknow,51,4.2745098039215685,0,14,37,0.0,0.27450980392156865,0.7254901960784313,0.7254901960784313
Patteeswaram Temple,Kumbakonam,102,4.235294117647059,2,24,76,0.0196078431372549,0.23529411764705882,0.7450980392156863,0.7254901960784313
Tagore House,Kolkata,102,4.235294117647059,2,24,76,0.0196078431372549,0.23529411764705882,0.7450980392156863,0.7254901960784313
VGP Universal Kingdom,Chennai,331,4.356495468277946,31,29,271,0.09365558912386707,0.08761329305135952,0.8187311178247734,0.7250755287009063
Ajodhya Hill and Forest Reserve Area,Purulia,80,4.275,6,10,64,0.075,0.125,0.8,0.7250000000000001
Manas Holiday Resorts,Pune,40,4.25,4,3,33,0.1,0.075,0.825,0.725
Takht Sri Keshgarh Sahib,Anandpur Sahib,40,4.25,1,9,30,0.025,0.225,0.75,0.725
Mannarasala Sree Nagaraja Temple,Alappuzha,160,4.2375,5,34,121,0.03125,0.2125,0.75625,0.725
Prithviraj Smarak Monument,Ajmer,40,4.225,2,7,31,0.05,0.175,0.775,0.725
"Alibag Beach, Alibag",Alibaug,40,4.2,4,3,33,0.1,0.075,0.825,0.725
Vanatirupathi,Nagercoil,40,4.2,1,9,30,0.025,0.225,0.75,0.725
Shri Devi Bhagwati Mandir,Ratnagiri,40,4.15,1,9,30,0.025,0.225,0.75,0.725
Company Bagh,Alwar,80,4.1375,5,12,63,0.0625,0.15,0.7875,0.725
Assi Ghat,Varanasi,930,4.188172043010753,32,192,706,0.034408602150537634,0.2064516129032258,0.7591397849462366,0.7247311827956989
Sri Aurobindo Ashram,Pondicherry,563,4.255772646536412,24,107,432,0.04262877442273535,0.19005328596802842,0.7673179396092362,0.7246891651865008
