Place,City,total_reviews,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
Tharpa Choling Monastery,Kalimpong,19,4.368421052631579,0,4,15,0.0,0.21052631578947367,0.7894736842105263,0.7894736842105263
Siddheswar Dham,Namchi,133,4.330827067669173,2,24,107,0.015037593984962405,0.18045112781954886,0.8045112781954887,0.7894736842105263
Madhe Ghat,Pune,19,4.315789473684211,0,4,15,0.0,0.21052631578947367,0.7894736842105263,0.7894736842105263
Malikarjuna Swamy Temple,Secunderabad,19,4.315789473684211,1,2,16,0.05263157894736842,0.10526315789473684,0.8421052631578947,0.7894736842105263
Mawphlang Falls,Shillong,19,4.315789473684211,0,4,15,0.0,0.21052631578947367,0.7894736842105263,0.7894736842105263
Jain Mahavira Temple,Jodhpur,95,4.2631578947368425,3,14,78,0.031578947368421054,0.14736842105263157,0.8210526315789474,0.7894736842105263
Shiva Dol,Sivasagar,19,4.2631578947368425,0,4,15,0.0,0.21052631578947367,0.7894736842105263,0.7894736842105263
Sodal Mandir,Jalandhar,19,4.2631578947368425,0,4,15,0.0,0.21052631578947367,0.7894736842105263,0.7894736842105263
Children Traffic Park,Chandigarh,38,4.2368421052631575,1,6,31,0.02631578947368421,0.15789473684210525,0.8157894736842105,0.7894736842105263
Bhakti Dham Shrine,Nashik,19,4.105263157894737,0,4,15,0.0,0.21052631578947367,0.7894736842105263,0.7894736842105263
Baby Beach,Kannur,19,4.0,0,4,15,0.0,0.21052631578947367,0.7894736842105263,0.7894736842105263
Madhya Pradesh Tribal Museum,Bhopal,275,4.363636363636363,5,48,222,0.01818181818181818,0.17454545454545456,0.8072727272727273,0.7890909090909091
Baranti,Purulia,109,4.348623853211009,6,11,92,0.05504587155963303,0.10091743119266056,0.8440366972477065,0.7889908256880734
Kethapayya Narayan Temple,Murdeshwar,180,4.3277777777777775,3,32,145,0.016666666666666666,0.17777777777777778,0.8055555555555556,0.7888888888888889
Chiklihole Reservoir,Kushalnagar,104,4.365384615384615,1,20,83,0.009615384615384616,0.19230769230769232,0.7980769230769231,0.7884615384615385
Dandi Beach,Navsari,52,4.4423076923076925,3,5,44,0.057692307692307696,0.09615384615384616,0.8461538461538461,0.7884615384615384
Sardar Vallabhbhai Patel National Memorial,Ahmedabad,104,4.259615384615385,2,18,84,0.019230769230769232,0.17307692307692307,0.8076923076923077,0.7884615384615384
Ambience Mall,Gurugram (Gurgaon),1365,4.335531135531135,59,171,1135,0.04322344322344322,0.12527472527472527,0.8315018315018315,0.7882783882783884
Express Avenue Mall,Chennai,835,4.3508982035928145,29,119,687,0.03473053892215569,0.14251497005988023,0.822754491017964,0.7880239520958083
Chitralekha Udyan,Tezpur,33,4.454545454545454,1,5,27,0.030303030303030304,0.15151515151515152,0.8181818181818182,0.787878787878788
Malvan Marine Sanctuary,Malvan,66,4.303030303030303,2,10,54,0.030303030303030304,0.15151515151515152,0.8181818181818182,0.787878787878788
Savitri Mata Ropeway,Kolkata,33,4.242424242424242,1,5,27,0.030303030303030304,0.15151515151515152,0.8181818181818182,0.787878787878788
Babbington Point,Mahabaleshwar,33,4.090909090909091,1,5,27,0.030303030303030304,0.15151515151515152,0.8181818181818182,0.787878787878788
Thusharagiri Waterfalls,Thamarassery,132,4.431818181818182,1,26,105,0.007575757575757576,0.19696969696969696,0.7954545454545454,0.7878787878787878
Sri Ramnath Temple,Ponda,33,4.242424242424242,0,7,26,0.0,0.21212121212121213,0.7878787878787878,0.7878787878787878
Library of Tibetan Works and Archives,Dharamsala,33,4.181818181818182,0,7,26,0.0,0.21212121212121213,0.7878787878787878,0.7878787878787878
Vadtal,Kheda,33,4.181818181818182,0,7,26,0.0,0.21212121212121213,0.7878787878787878,0.7878787878787878
Kuzhanthai Velappar Temple,Kodaikanal,33,4.121212121212121,0,7,26,0.0,0.21212121212121213,0.7878787878787878,0.7878787878787878
Belvedere Point,Matheran,33,4.0606060606060606,0,7,26,0.0,0.21212121212121213,0.7878787878787878,0.7878787878787878
New Vishwanath Temple,Varanasi,490,4.2877551020408164,10,84,396,0.02040816326530612,0.17142857142857143,0.8081632653061225,0.7877551020408163
Maharaja Fatesingh Museum,Vadodara,226,4.247787610619469,3,42,181,0.01327433628318584,0.18584070796460178,0.8008849557522124,0.7876106194690266
Colva Beach,Colva,1667,4.37252549490102,78,199,1390,0.046790641871625675,0.11937612477504499,0.8338332333533294,0.7870425914817037
Holy Trinity Church,Hyderabad,61,4.426229508196721,2,9,50,0.03278688524590164,0.14754098360655737,0.819672131147541,0.7868852459016393
Ramapuram Beach,Chirala,75,4.453333333333333,3,10,62,0.04,0.13333333333333333,0.8266666666666667,0.7866666666666666
Buddha Smriti Park,Patna,178,4.297752808988764,7,24,147,0.03932584269662921,0.1348314606741573,0.8258426966292135,0.7865168539325843
Patna Waterfalls,Rishikesh,103,4.446601941747573,4,14,85,0.038834951456310676,0.13592233009708737,0.8252427184466019,0.7864077669902912
Municipal Garden,Mussoorie,117,4.282051282051282,4,17,96,0.03418803418803419,0.1452991452991453,0.8205128205128205,0.7863247863247863
Camel's Back Road,Mussoorie,795,4.332075471698113,34,102,659,0.042767295597484274,0.12830188679245283,0.8289308176100629,0.7861635220125787
Quest Mall,Kolkata,299,4.287625418060201,10,44,245,0.033444816053511704,0.14715719063545152,0.8193979933110368,0.7859531772575251
Bharati Government Park,Pondicherry,299,4.2274247491638794,18,28,253,0.06020066889632107,0.09364548494983277,0.8461538461538461,0.7859531772575251
Pagoda Point,Yercaud,495,4.276767676767677,20,66,409,0.04040404040404041,0.13333333333333333,0.8262626262626263,0.7858585858585858
PVR Icon,Mumbai,42,4.476190476190476,2,5,35,0.047619047619047616,0.11904761904761904,0.8333333333333334,0.7857142857142858
Delhi University Sports Complex,New Delhi,14,4.571428571428571,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Dive Goa,Murdeshwar,14,4.571428571428571,1,1,12,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Rikhia Yogashram,Deoghar,14,4.571428571428571,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Vishram Bagh Waada Palace,Pune,14,4.571428571428571,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Amar Jawan Jyoti,Jaipur,28,4.535714285714286,2,2,24,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Patrika Gate,Jaipur,28,4.535714285714286,1,4,23,0.03571428571428571,0.14285714285714285,0.8214285714285714,0.7857142857142857
Traya Natural Health Centre,Dona Paula,28,4.535714285714286,2,2,24,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
MM Fun City,Raipur,70,4.5285714285714285,5,5,60,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Chetpet EcoPark,Chennai,56,4.5,2,8,46,0.03571428571428571,0.14285714285714285,0.8214285714285714,0.7857142857142857
Kamtaji Temple,Chitrakoot,14,4.5,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
The Karvi Spa,Lavasa,14,4.5,1,1,12,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Vishal Jain Museum,Palitana,14,4.5,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Whispering Walls,Amritsar,14,4.5,1,1,12,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Kamna Devi Temple,Shimla,28,4.464285714285714,0,6,22,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Jallandhar Beach,Diu,98,4.438775510204081,7,7,84,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Kelwa Beach,Thane,112,4.4375,7,10,95,0.0625,0.08928571428571429,0.8482142857142857,0.7857142857142857
Azheekal Beach,Azheekal,14,4.428571428571429,1,1,12,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Bikaner Miniature Arts,Bikaner,14,4.428571428571429,1,1,12,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Din Brothers Jewellers and Gold Smiths,Cavelossim,56,4.428571428571429,3,6,47,0.05357142857142857,0.10714285714285714,0.8392857142857143,0.7857142857142857
Shri Kshetra Manjuguni,Sirsi,28,4.428571428571429,0,6,22,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Usri Falls,Giridih,14,4.428571428571429,1,1,12,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Athirappilly Waterfalls,Thrissur,826,4.400726392251816,35,107,684,0.0423728813559322,0.12953995157384987,0.8280871670702179,0.7857142857142857
Silver Beach,Cuddalore,28,4.392857142857143,0,6,22,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Puliyancholai Falls,Tiruchirappalli,14,4.357142857142857,1,1,12,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Sagareshwar Beach,Vengurla,28,4.357142857142857,1,4,23,0.03571428571428571,0.14285714285714285,0.8214285714285714,0.7857142857142857
Shiv Mandir,Aizawl,112,4.339285714285714,4,16,92,0.03571428571428571,0.14285714285714285,0.8214285714285714,0.7857142857142857
Wandoor Beach,South Andaman Island,336,4.339285714285714,21,30,285,0.0625,0.08928571428571429,0.8482142857142857,0.7857142857142857
Santoshi Mata Temple,Bhind,112,4.330357142857143,4,16,92,0.03571428571428571,0.14285714285714285,0.8214285714285714,0.7857142857142857
Jai Pol,Jodhpur,28,4.321428571428571,0,6,22,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Jayanti Forest,Jalpaiguri,28,4.321428571428571,1,4,23,0.03571428571428571,0.14285714285714285,0.8214285714285714,0.7857142857142857
Abirami Amman Temple,Dindigul,14,4.285714285714286,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Avudaiyarkoil,Pudukkottai,14,4.285714285714286,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Janaki Kund,Chitrakoot,14,4.285714285714286,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Jawahar Bal Bhavan,Bengaluru,14,4.285714285714286,1,1,12,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Kolaramma Temple,Kolar,42,4.285714285714286,1,7,34,0.023809523809523808,0.16666666666666666,0.8095238095238095,0.7857142857142857
Poiman Karadu,Salem,14,4.285714285714286,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Torana Ganapati Temple,Chikmagalur,14,4.285714285714286,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Sidh Baba Ka Mandir,Chail,56,4.25,1,10,45,0.017857142857142856,0.17857142857142858,0.8035714285714286,0.7857142857142857
Digamber Jain Bada Mandir,Hastinapur,14,4.214285714285714,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
India Exposition Mart,Greater Noida,28,4.214285714285714,0,6,22,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Manuabhan Tekri,Bhopal,28,4.214285714285714,0,6,22,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Rahreswar Shibtola,Durgapur,14,4.214285714285714,1,1,12,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Bankebihari Temple,Bharatpur,42,4.190476190476191,3,3,36,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
"ISKCON Madurai, Sri Sri Radha Mathurapati Temple",Madurai,28,4.178571428571429,1,4,23,0.03571428571428571,0.14285714285714285,0.8214285714285714,0.7857142857142857
Rudramata,Bhuj,28,4.178571428571429,1,4,23,0.03571428571428571,0.14285714285714285,0.8214285714285714,0.7857142857142857
Anashi Waterfall,Karwar,14,4.142857142857143,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Goripalayam Dargah,Madurai,14,4.142857142857143,1,1,12,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Kandoliya Temple,Pauri,14,4.142857142857143,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Khereshwar Temple,Aligarh,14,4.142857142857143,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Shaheed-E-Azam Museum,Jalandhar,14,4.142857142857143,1,1,12,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Trikuteshwara Temple,Gadag,14,4.142857142857143,1,1,12,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.7857142857142857
Waghur Dam,Jalgaon,14,4.142857142857143,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Walkway Mall,Haldwani,14,4.142857142857143,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
The Ozone Galleria Mall,Dhanbad,14,4.071428571428571,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857
Nariman Point,Mumbai,2264,4.339222614840989,55,376,1833,0.02429328621908127,0.16607773851590105,0.8096289752650176,0.7853356890459364
Marble Rocks at Bhedaghat,Jabalpur,624,4.346153846153846,18,98,508,0.028846153846153848,0.15705128205128205,0.8141025641025641,0.7852564102564102
Dreamland Adventure,Anachal,214,4.289719626168225,13,20,181,0.06074766355140187,0.09345794392523364,0.8457943925233645,0.7850467289719627
M.A.Chidambaram Stadium,Chennai,107,4.336448598130841,5,13,89,0.04672897196261682,0.12149532710280374,0.8317757009345794,0.7850467289719626
Banasura Sagar Dam,Vythiri,1135,4.3286343612334806,37,170,928,0.03259911894273128,0.14977973568281938,0.8176211453744493,0.785022026431718
Bhulla Tal Lake,Lansdowne,558,4.288530465949821,21,78,459,0.03763440860215054,0.13978494623655913,0.8225806451612904,0.7849462365591399
Fun Forest Adventure Park,Munnar,93,4.516129032258065,6,8,79,0.06451612903225806,0.08602150537634409,0.8494623655913979,0.7849462365591398
Sri Chamarajendra Zoological Gardens,Mysuru (Mysore),3177,4.36040289581366,107,470,2600,0.03367957192319799,0.1479383065785332,0.8183821214982688,0.7847025495750708
Thangkharang Park,Sohra,65,4.323076923076923,3,8,54,0.046153846153846156,0.12307692307692308,0.8307692307692308,0.7846153846153847
BhoothathanKettu Dam & Reserve Forest,Ernakulam,116,4.396551724137931,2,21,93,0.017241379310344827,0.1810344827586207,0.8017241379310345,0.7844827586206896
Dodda Ganapathi Temple,Bengaluru,524,4.25,7,99,418,0.013358778625954198,0.18893129770992367,0.7977099236641222,0.7843511450381679
Paavakkulam Mahadeva Temple,Ernakulam,51,4.215686274509804,1,9,41,0.0196078431372549,0.17647058823529413,0.803921568627451,0.7843137254901961
Sakrebailu Elephant Camp,Shimoga,292,4.345890410958904,6,51,235,0.02054794520547945,0.17465753424657535,0.8047945205479452,0.7842465753424658
Somnathpur Temple,Mysuru (Mysore),797,4.351317440401505,29,114,654,0.03638644918444166,0.14303638644918445,0.820577164366374,0.7841907151819323
Necklace Road,Hyderabad,227,4.3392070484581495,8,33,186,0.03524229074889868,0.14537444933920704,0.8193832599118943,0.7841409691629956
Panambur Beach,Mangalore,528,4.367424242424242,28,58,442,0.05303030303030303,0.10984848484848485,0.8371212121212122,0.7840909090909092
Kerala Museum,Kochi (Cochin),88,4.25,3,13,72,0.03409090909090909,0.14772727272727273,0.8181818181818182,0.7840909090909092
Tsechokling Gompa,McLeod Ganj,213,4.342723004694836,7,32,174,0.03286384976525822,0.15023474178403756,0.8169014084507042,0.784037558685446
Patnem-Colomb Beach,Panjim,125,4.424,4,19,102,0.032,0.152,0.816,0.7839999999999999
Fort Aguada,Sinquerim,1449,4.311939268461008,54,205,1190,0.037267080745341616,0.1414768806073154,0.821256038647343,0.7839889579020014
Lake Mist,Mussoorie,37,4.405405405405405,1,6,30,0.02702702702702703,0.16216216216216217,0.8108108108108109,0.7837837837837838
Nasim Bagh,Srinagar,37,4.378378378378378,1,6,30,0.02702702702702703,0.16216216216216217,0.8108108108108109,0.7837837837837838
Mandwa Beach,Alibaug,111,4.333333333333333,6,12,93,0.05405405405405406,0.10810810810810811,0.8378378378378378,0.7837837837837838
Mount Carmel Church &Mount Carmel Pilgrim Centre,Munnar,37,4.297297297297297,1,6,30,0.02702702702702703,0.16216216216216217,0.8108108108108109,0.7837837837837838
Amar Kutir,Santiniketan,148,4.263513513513513,0,32,116,0.0,0.21621621621621623,0.7837837837837838,0.7837837837837838
Bawey Wali Mata Temple,Jammu City,37,4.243243243243243,1,6,30,0.02702702702702703,0.16216216216216217,0.8108108108108109,0.7837837837837838
Basistha Ashram Temple,Guwahati,111,4.2342342342342345,4,16,91,0.036036036036036036,0.14414414414414414,0.8198198198198198,0.7837837837837838
St. Aloysius Chapel,Mangalore,245,4.253061224489796,8,37,200,0.0326530612244898,0.1510204081632653,0.8163265306122449,0.7836734693877552
Thillai Nataraja Temple,Chidambaram,171,4.304093567251462,3,31,137,0.017543859649122806,0.18128654970760233,0.8011695906432749,0.7836257309941521
Santa Cruz Cathedral Basilica,Kochi (Cochin),684,4.353801169590644,19,110,555,0.027777777777777776,0.1608187134502924,0.8114035087719298,0.783625730994152
Rewalsar Lake,Mandi,97,4.34020618556701,3,15,79,0.030927835051546393,0.15463917525773196,0.8144329896907216,0.7835051546391752
Shivaji Park,Mumbai,351,4.2905982905982905,4,68,279,0.011396011396011397,0.19373219373219372,0.7948717948717948,0.7834757834757834
Russi Modi Centre of Excellence,Jamshedpur,60,4.233333333333333,0,13,47,0.0,0.21666666666666667,0.7833333333333333,0.7833333333333333
Mount Abu,Mount Abu,798,4.398496240601504,36,101,661,0.045112781954887216,0.12656641604010024,0.8283208020050126,0.7832080200501254
Mahalakshmi Temple,Mumbai,1259,4.266084193804607,32,209,1018,0.025416997617156472,0.16600476568705322,0.8085782366957903,0.7831612390786339
Ship Palace (Jahaz Mahal),Mandu,272,4.415441176470588,7,45,220,0.025735294117647058,0.16544117647058823,0.8088235294117647,0.7830882352941176
Church of our Lady of Velankanni,Velankanni,295,4.28135593220339,9,46,240,0.030508474576271188,0.15593220338983052,0.8135593220338984,0.7830508474576272
Mannavanur Lake,Kodaikanal,318,4.352201257861635,14,41,263,0.0440251572327044,0.1289308176100629,0.8270440251572327,0.7830188679245284
Gaiety Heritage Cultural Complex,Shimla,318,4.3427672955974845,8,53,257,0.025157232704402517,0.16666666666666666,0.8081761006289309,0.7830188679245284
Dhuandhar Falls,Jabalpur,705,4.326241134751773,19,115,571,0.02695035460992908,0.16312056737588654,0.8099290780141843,0.7829787234042552
Nanda Devi Temple,Almora,129,4.263565891472868,5,18,106,0.03875968992248062,0.13953488372093023,0.8217054263565892,0.7829457364341086
Bull Temple,Bengaluru,714,4.235294117647059,16,123,575,0.022408963585434174,0.1722689075630252,0.8053221288515406,0.7829131652661064
Vishwa Shanti Stupa,New Delhi,152,4.315789473684211,5,23,124,0.03289473684210526,0.1513157894736842,0.8157894736842105,0.7828947368421052
The Great India Place,Noida,976,4.32172131147541,43,126,807,0.04405737704918033,0.1290983606557377,0.826844262295082,0.7827868852459017
Anjum Beach,Panjim,46,4.5,2,6,38,0.043478260869565216,0.13043478260869565,0.8260869565217391,0.782608695652174
East Bengal Ground,Kolkata,23,4.478260869565218,0,5,18,0.0,0.21739130434782608,0.782608695652174,0.782608695652174
Agroha Dham,Hisar,23,4.434782608695652,1,3,19,0.043478260869565216,0.13043478260869565,0.8260869565217391,0.782608695652174
Karamalai Annai Velankanni Church,Valparai,23,4.434782608695652,0,5,18,0.0,0.21739130434782608,0.782608695652174,0.782608695652174
Shaily Peak,Shimla,23,4.434782608695652,1,3,19,0.043478260869565216,0.13043478260869565,0.8260869565217391,0.782608695652174
Barbotey Rock Garden,Darjeeling,253,4.430830039525691,9,37,207,0.03557312252964427,0.14624505928853754,0.8181818181818182,0.782608695652174
The Strand,Chandannagar,46,4.413043478260869,3,4,39,0.06521739130434782,0.08695652173913043,0.8478260869565217,0.782608695652174
Sadda Pind,Amritsar,23,4.391304347826087,1,3,19,0.043478260869565216,0.13043478260869565,0.8260869565217391,0.782608695652174
Devarayana Durga,Tumkur,138,4.384057971014493,2,26,110,0.014492753623188406,0.18840579710144928,0.7971014492753623,0.782608695652174
Velsao Beach,Vasco da Gama,46,4.369565217391305,2,6,38,0.043478260869565216,0.13043478260869565,0.8260869565217391,0.782608695652174
Maravanthe Beach,Kundapur,138,4.340579710144928,7,16,115,0.050724637681159424,0.11594202898550725,0.8333333333333334,0.782608695652174
Ratnadurga Fort,Ratnagiri,115,4.3130434782608695,0,25,90,0.0,0.21739130434782608,0.782608695652174,0.782608695652174
Bhatinda Fall,Dhanbad,23,4.304347826086956,1,3,19,0.043478260869565216,0.13043478260869565,0.8260869565217391,0.782608695652174
Eagle's Crag,Kurseong,46,4.282608695652174,2,6,38,0.043478260869565216,0.13043478260869565,0.8260869565217391,0.782608695652174
Chail Wildlife Sanctuary,Chail,46,4.260869565217392,3,4,39,0.06521739130434782,0.08695652173913043,0.8478260869565217,0.782608695652174
Shri Koteshwar Mahadev Temple,Ambaji,23,4.173913043478261,0,5,18,0.0,0.21739130434782608,0.782608695652174,0.782608695652174
Casino Paradise,Panjim,23,4.130434782608695,1,3,19,0.043478260869565216,0.13043478260869565,0.8260869565217391,0.782608695652174
Devi Temple,Panipat,23,4.130434782608695,0,5,18,0.0,0.21739130434782608,0.782608695652174,0.782608695652174
Kamal Basti,Belgaum,23,4.086956521739131,0,5,18,0.0,0.21739130434782608,0.782608695652174,0.782608695652174
Annandale Army Heritage Museum,Shimla,92,4.336956521739131,3,14,75,0.03260869565217391,0.15217391304347827,0.8152173913043478,0.7826086956521738
"Malai Mandir, New Delhi",New Delhi,147,4.238095238095238,2,28,117,0.013605442176870748,0.19047619047619047,0.7959183673469388,0.782312925170068
Rama Krishna Beach,Visakhapatnam (Vizag),813,4.353013530135302,33,111,669,0.04059040590405904,0.13653136531365315,0.8228782287822878,0.7822878228782287
"Indian Institute Of Technology, Madras",Chennai,248,4.270161290322581,3,48,197,0.012096774193548387,0.1935483870967742,0.7943548387096774,0.782258064516129
St. Paul's Church,Diu,225,4.315555555555555,7,35,183,0.03111111111111111,0.15555555555555556,0.8133333333333334,0.7822222222222223
Gangapur Dam,Nashik,78,4.423076923076923,5,7,66,0.0641025641025641,0.08974358974358974,0.8461538461538461,0.782051282051282
Korigad Fort,Lonavala,78,4.358974358974359,1,15,62,0.01282051282051282,0.19230769230769232,0.7948717948717948,0.782051282051282
Kune Waterfalls,Khandala,78,4.358974358974359,3,11,64,0.038461538461538464,0.14102564102564102,0.8205128205128205,0.782051282051282
Lake View Point,Kodaikanal,289,4.1833910034602075,6,51,232,0.020761245674740483,0.17647058823529413,0.8027681660899654,0.7820069204152249
Kerala Folklore Museum,Kochi (Cochin),963,4.316718587746625,30,150,783,0.03115264797507788,0.1557632398753894,0.8130841121495327,0.7819314641744548
The Heritage Centre & Aerospace Museum,Bengaluru,495,4.191919191919192,14,80,401,0.028282828282828285,0.16161616161616163,0.8101010101010101,0.7818181818181819
Brahma Sarovar,Kurukshetra,142,4.330985915492958,5,21,116,0.035211267605633804,0.14788732394366197,0.8169014084507042,0.7816901408450705
Pinjore Gardens,Pinjore,261,4.344827586206897,10,37,214,0.038314176245210725,0.1417624521072797,0.8199233716475096,0.7816091954022989
The Forum Fiza Mall,Mangalore,87,4.505747126436781,4,11,72,0.04597701149425287,0.12643678160919541,0.8275862068965517,0.7816091954022988
Panjab University,Chandigarh,270,4.348148148148148,11,37,222,0.040740740740740744,0.13703703703703704,0.8222222222222222,0.7814814814814814
Panshet Dam,Panshet,183,4.404371584699454,7,26,150,0.03825136612021858,0.14207650273224043,0.819672131147541,0.7814207650273224
Radha Raman Temple,Mathura,32,4.53125,1,5,26,0.03125,0.15625,0.8125,0.78125
Dabhosa Waterfall,Jawhar,32,4.40625,1,5,26,0.03125,0.15625,0.8125,0.78125
Funky Monkeys Play Center - Andheri,Mumbai,32,4.40625,3,1,28,0.09375,0.03125,0.875,0.78125
Kondakarla Bird Sanctuary,Visakhapatnam (Vizag),32,4.34375,1,5,26,0.03125,0.15625,0.8125,0.78125
Ghorakhal Tea Factory,Bhowali,32,4.28125,0,7,25,0.0,0.21875,0.78125,0.78125
Kali Mandir,Siliguri,64,4.25,3,8,53,0.046875,0.125,0.828125,0.78125
Belavadi,Chikmagalur,32,4.21875,0,7,25,0.0,0.21875,0.78125,0.78125
DT Mall,Chandigarh,32,4.21875,1,5,26,0.03125,0.15625,0.8125,0.78125
Rajaji National park/Tiger Reserve Safari,Haridwar,32,4.21875,1,5,26,0.03125,0.15625,0.8125,0.78125
Junagarh Fort,Bikaner,1114,4.350089766606822,40,164,910,0.03590664272890485,0.14721723518850988,0.8168761220825853,0.7809694793536804
Museum of Tribal Arts & Artifacts,Bhubaneswar,178,4.286516853932584,5,29,144,0.028089887640449437,0.16292134831460675,0.8089887640449438,0.7808988764044944
ChhattBir Zoo,Panchkula,146,4.363013698630137,4,24,118,0.0273972602739726,0.1643835616438356,0.8082191780821918,0.7808219178082192
Parunthumpara,Peermade,114,4.394736842105263,5,15,94,0.043859649122807015,0.13157894736842105,0.8245614035087719,0.7807017543859649
Bogatha Waterfall,Bhadrachalam,41,4.463414634146342,1,7,33,0.024390243902439025,0.17073170731707318,0.8048780487804879,0.7804878048780488
Constantia House,Lucknow,41,4.390243902439025,0,9,32,0.0,0.21951219512195122,0.7804878048780488,0.7804878048780488
Wellington Gymkhana Club Golf Course,Coonoor,82,4.365853658536586,5,8,69,0.06097560975609756,0.0975609756097561,0.8414634146341463,0.7804878048780488
City Forest,Chandigarh,41,4.439024390243903,2,5,34,0.04878048780487805,0.12195121951219512,0.8292682926829268,0.7804878048780487
Ana Sagar Lake,Ajmer,410,4.309756097560975,19,52,339,0.046341463414634146,0.12682926829268293,0.8268292682926829,0.7804878048780487
Swabhumi - The Heritage Plaza,Kolkata,41,4.2926829268292686,2,5,34,0.04878048780487805,0.12195121951219512,0.8292682926829268,0.7804878048780487
Mukteshwar Temple,Mumbai,378,4.333333333333333,11,61,306,0.0291005291005291,0.16137566137566137,0.8095238095238095,0.7804232804232805
Swamimalai Hills,Yelagiri,50,4.36,0,11,39,0.0,0.22,0.78,0.78
Chalkewadi Windmill Farms,Satara,50,4.34,3,5,42,0.06,0.1,0.84,0.78
Takht Sri Damdama Sahib,Bathinda,50,4.34,1,9,40,0.02,0.18,0.8,0.78
Chamera Lake,Dalhousie,750,4.322666666666667,27,111,612,0.036,0.148,0.816,0.7799999999999999
Madurai Meenakshi Amman Temple,Madurai,3418,4.328262141603277,109,534,2775,0.03188999414862493,0.15623171445289644,0.8118782913984787,0.7799882972498537
Sun Temple,Gwalior,563,4.3126110124333925,16,92,455,0.028419182948490232,0.16341030195381884,0.8081705150976909,0.7797513321492007
Vetal Hill,Pune,59,4.271186440677966,1,11,47,0.01694915254237288,0.1864406779661017,0.7966101694915254,0.7796610169491526
Triveni Ghat,Rishikesh,1429,4.301609517144857,41,233,1155,0.028691392582225334,0.1630510846745976,0.8082575227431771,0.7795661301609518
Devbagh Beach,Karwar,204,4.426470588235294,7,31,166,0.03431372549019608,0.15196078431372548,0.8137254901960784,0.7794117647058824
VR Chennai,Chennai,68,4.426470588235294,4,7,57,0.058823529411764705,0.10294117647058823,0.8382352941176471,0.7794117647058824
Nehru Bridge,Ahmedabad,154,4.220779220779221,2,30,122,0.012987012987012988,0.19480519480519481,0.7922077922077922,0.7792207792207793
Milagres Church,Mangalore,95,4.294736842105263,0,21,74,0.0,0.22105263157894736,0.7789473684210526,0.7789473684210526
Princess Street,Kochi (Cochin),303,4.234323432343234,7,53,243,0.0231023102310231,0.17491749174917492,0.801980198019802,0.778877887788779
Langza,Kaza,104,4.298076923076923,7,9,88,0.0673076923076923,0.08653846153846154,0.8461538461538461,0.7788461538461539
