City,total_reviews,total_places,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
Dasanapura,2,1,4.5,0,0,2,0.0,0.0,1.0,1.0
Falna,2,1,4.5,0,0,2,0.0,0.0,1.0,1.0
Khargone,10,4,4.5,0,0,10,0.0,0.0,1.0,1.0
Mandapeta,2,1,4.5,0,0,2,0.0,0.0,1.0,1.0
Mandarthi,4,1,4.5,0,0,4,0.0,0.0,1.0,1.0
Narsapur,2,1,4.5,0,0,2,0.0,0.0,1.0,1.0
Nelamangala,2,1,4.5,0,0,2,0.0,0.0,1.0,1.0
Nurpur,4,1,4.5,0,0,4,0.0,0.0,1.0,1.0
Rajgurunagar,2,1,4.5,0,0,2,0.0,0.0,1.0,1.0
Renigunta,2,1,4.5,0,0,2,0.0,0.0,1.0,1.0
Sabalgarh,2,2,4.5,0,0,2,0.0,0.0,1.0,1.0
Salogra,2,1,4.5,0,0,2,0.0,0.0,1.0,1.0
Shahdara Sharif,2,1,4.5,0,0,2,0.0,0.0,1.0,1.0
Shravanabelagola,2,1,4.5,0,0,2,0.0,0.0,1.0,1.0
Vijayapura,2,2,4.5,0,0,2,0.0,0.0,1.0,1.0
Dhule,7,1,4.428571428571429,0,0,7,0.0,0.0,1.0,1.0
Paravoor,7,1,4.428571428571429,0,0,7,0.0,0.0,1.0,1.0
Batala,5,2,4.4,0,0,5,0.0,0.0,1.0,1.0
Jariput,5,1,4.4,0,0,5,0.0,0.0,1.0,1.0
Saharsa,5,2,4.4,0,0,5,0.0,0.0,1.0,1.0
Narasapura,16,1,4.375,0,0,16,0.0,0.0,1.0,1.0
Barua Sagar,3,1,4.333333333333333,0,0,3,0.0,0.0,1.0,1.0
Kalyani,3,1,4.333333333333333,0,0,3,0.0,0.0,1.0,1.0
Rajakkad,3,1,4.333333333333333,0,0,3,0.0,0.0,1.0,1.0
Sadahalli,3,1,4.333333333333333,0,0,3,0.0,0.0,1.0,1.0
Sanasar,3,1,4.333333333333333,0,0,3,0.0,0.0,1.0,1.0
Subrahmanya,3,2,4.333333333333333,0,0,3,0.0,0.0,1.0,1.0
Aversa,4,1,4.25,0,0,4,0.0,0.0,1.0,1.0
